,City,Country,Date,Cloudiness,Humidity,Latitude,Longitude,Max Temp,Wind Speed
0,Barrow,AR,1553028297,0,60,-38.31,-60.23,289.806,5.76
1,Bosaso,SO,1553028297,0,100,11.28,49.18,298.656,2.26
2,Bethel,US,1553025360,1,78,60.79,-161.76,261.15,4.6
3,Hofn,IS,1553028030,8,98,64.25,-15.21,277.757,12.76
4,Tasiilaq,GL,1553025000,75,66,65.61,-37.64,262.15,6.2
5,Carnarvon,ZA,1553028298,32,29,-30.97,22.13,291.957,4.81
6,Ushuaia,AR,1553025600,40,61,-54.81,-68.31,283.15,7.7
7,Sauda,NO,1553028244,92,73,59.65,6.35,278.71,2.31
8,Kaihua,CN,1553028299,48,83,29.14,118.41,291.207,2.66
9,Lebu,ET,1553028302,0,64,8.96,38.73,281.906,2.01
10,Talara,PE,1553025600,0,290,-4.58,-81.27,290.15,4.6
11,Aswan,EG,1553028302,48,49,24.09,32.9,289.906,3.11
12,Saint-Philippe,CA,1553028008,1,84,45.36,-73.48,274.82,5.7
13,Port Elizabeth,US,1553028296,1,25,39.31,-74.98,283.71,4.6
14,Kolpny,RU,1553028303,76,91,52.23,37.04,274.357,2.66
15,Jamestown,AU,1553028304,0,90,-33.21,138.6,284.656,1.46
16,Mahebourg,MU,1553028242,40,83,-20.41,57.7,300.15,2.6
17,New Norfolk,AU,1553028195,75,93,-42.78,147.06,290.15,1.5
18,Qaanaaq,GL,1553028304,0,81,77.48,-69.36,240.206,3.86
19,Hithadhoo,MV,1553028199,64,100,-0.6,73.08,302.056,2.41
20,Kapaa,US,1553028200,75,60,22.08,-159.32,297.15,5.7
21,Mataura,NZ,1553028007,56,94,-46.19,168.86,287.59,1.56
22,Punta Arenas,CL,1553028191,75,62,-53.16,-70.91,286.15,10.8
23,Kodiak,US,1553028287,75,70,39.95,-94.76,287.59,5.7
24,Ponta do Sol,BR,1553028305,0,81,-20.63,-46.0,298.957,1.41
25,Karpathos,GR,1553025000,40,77,35.51,27.21,288.15,1.0
26,Knysna,ZA,1553025600,64,83,-34.04,23.05,294.15,3.1
27,Albany,US,1553028068,40,33,42.65,-73.75,279.82,7.7
28,Kalmunai,LK,1553028307,12,94,7.42,81.82,294.906,0.61
29,Cabo San Lucas,MX,1553028041,5,38,22.89,-109.91,302.04,4.1
30,Broome,GB,1553028005,75,81,52.47,1.45,283.71,2.6
31,Grand Gaube,MU,1553028242,40,83,-20.01,57.66,300.15,2.6
